1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1269,24,1232,430,1269,Gd,3182,20,5,8,1256,2004,2005,192000
658,0,658,0,1184,TA,8410,151,3,5,658,1910,1996,81000
1125,631,410,352,1125,TA,7200,0,6,6,1041,1976,1976,125000
1479,0,1468,577,1479,Gd,9382,25,5,7,1468,1999,2000,191000
1742,1280,402,846,2332,Ex,12474,134,5,10,1682,2007,2008,426000
961,241,229,384,1367,TA,8405,130,8,5,861,1900,1950,119000
804,690,114,560,1961,Gd,12209,192,5,6,804,2001,2002,215000
882,0,0,294,882,TA,8339,0,7,5,0,1959,1959,106500
788,266,522,0,788,TA,7446,0,5,4,788,1941,1950,100000
735,0,735,240,1034,TA,10134,39,6,5,735,1940,1950,109000
1144,739,405,596,1144,TA,9571,0,6,5,1144,1956,1956,129000
894,777,117,600,894,TA,7200,0,5,5,894,1972,1972,123000
876,540,324,264,1812,TA,7590,168,5,5,864,1962,1962,169500
1077,0,961,338,1077,TA,8967,0,2,5,961,1920,1950,67000
1112,812,280,438,1550,Gd,8125,168,5,7,1092,2006,2007,241000
1288,786,474,500,1288,Ex,14963,30,5,8,1260,1996,1996,245500
1310,24,1286,400,1310,Gd,8767,0,5,7,1310,2005,2005,164990
672,0,672,240,672,TA,10200,0,8,5,672,1940,1997,108000
1165,0,1141,420,2263,Gd,12090,123,5,8,1141,1998,1998,258000
806,0,806,373,1572,TA,10364,40,5,6,806,1995,1996,168000
1620,1116,165,490,1620,TA,9991,78,4,4,1281,1976,1993,150000
1166,0,1064,240,1639,TA,10480,0,5,6,1064,1936,1950,115000
840,0,840,308,1680,TA,15576,0,7,6,840,1915,1976,177000
1071,0,1063,947,2172,Gd,14154,62,5,7,1063,2006,2006,280000
1050,789,245,836,2078,Ex,10800,102,5,8,1034,2007,2008,339750
1276,0,1276,350,1276,TA,9571,0,3,5,1276,1958,1958,60000
1056,1056,0,572,1056,TA,34650,0,5,5,1056,1955,1955,145000
1478,578,892,484,1478,Gd,4403,144,5,7,1470,2009,2009,222000
1028,0,1008,360,1028,TA,8960,0,6,5,1008,1927,1950,115000
1080,50,499,678,2097,Gd,11228,187,5,7,1080,1993,1993,228000
1340,24,1316,396,1340,Gd,8899,30,5,7,1340,2007,2007,181134
672,209,463,440,1400,TA,7844,0,7,6,672,1978,1978,149500
1370,1128,242,864,2624,TA,22420,0,6,6,1370,1918,1950,239000
756,312,444,240,1134,TA,8160,0,6,5,756,1940,1950,126000
1056,775,281,304,1056,TA,8450,85,6,5,1056,1968,1968,142000
1344,1309,35,784,1344,TA,7060,0,5,7,1344,1997,1998,206300
1602,1246,356,529,1602,Gd,16635,0,7,6,1602,1977,2000,215000
988,0,988,520,988,TA,21750,0,5,5,988,1954,1954,113000
1470,986,484,696,2630,Gd,9200,66,5,8,1470,1998,1998,315000
1196,616,580,297,1196,TA,9000,44,5,6,1196,1956,1956,139000
707,0,651,240,1389,TA,3378,0,8,7,651,1946,1992,135000
1644,1518,0,569,1644,Gd,12800,0,5,7,1518,1989,1989,275000
907,288,619,352,907,TA,8593,0,6,4,907,1957,1957,109008
1208,664,544,628,1208,Gd,6762,54,5,7,1208,2007,2007,195400
1412,1005,387,576,1412,Gd,11457,0,5,6,1392,1988,1988,175000
483,387,96,264,987,TA,1680,0,5,6,483,1971,1971,85400
1088,0,901,0,1198,TA,5586,98,7,6,901,1920,1998,79900
765,471,294,440,1365,TA,1920,36,5,5,765,1971,1971,122500
926,0,926,470,1604,TA,10839,36,5,6,926,1997,1998,181000
630,495,135,0,630,TA,1890,0,7,4,630,1972,1972,81000
827,385,70,550,1661,Gd,10667,61,6,7,799,1996,1996,212000
734,0,648,440,1118,TA,4400,0,8,6,648,1920,1950,116000
904,0,884,180,904,TA,6000,0,7,6,884,1926,2004,119000
694,365,75,352,694,Gd,4280,0,6,5,440,1913,2002,90350
684,0,684,528,1196,Gd,12354,46,8,6,684,1920,2000,110000
2402,1767,788,672,2402,Ex,15431,72,5,10,3094,2008,2008,555000
1440,133,1307,0,1440,Fa,12108,0,4,4,1440,1955,1955,118000
1128,0,1078,360,1573,TA,6240,0,7,5,1078,1930,1992,162900
1258,0,1258,648,1258,Gd,3922,16,5,7,1258,2006,2007,172500
933,642,273,493,1908,Gd,8750,133,5,7,915,1994,1995,210000
1689,0,1436,480,1689,TA,9855,0,5,6,1436,1956,1956,127500
1888,247,557,578,1888,Gd,16492,0,6,6,1517,1966,2002,190000
956,0,930,431,1886,Gd,11214,0,5,7,930,1998,1999,199900
780,0,780,198,1376,TA,8600,0,6,6,780,1937,1950,119500
679,331,318,308,1183,TA,6000,176,7,3,649,1948,2002,120000
813,0,813,270,813,Gd,5684,113,8,6,813,1930,2005,110000
1533,655,878,576,1533,Gd,70761,54,5,7,1533,1975,1975,280000
888,742,130,422,1756,TA,9303,122,5,6,872,1996,1997,204000
786,0,768,676,1590,Gd,9000,30,5,8,768,2008,2008,210000
1728,1606,122,560,1728,TA,9297,0,5,5,1728,1976,1976,188000
1242,916,326,528,1242,TA,9600,0,6,7,1242,1973,1973,175500
624,0,624,513,1344,TA,4571,0,5,5,624,1916,1950,98000
1663,1116,248,529,1663,Gd,53227,137,6,4,1364,1954,1994,256000
833,0,588,228,1666,Gd,5100,63,7,8,588,1925,1996,161000
979,185,524,352,1203,Gd,7015,0,4,5,709,1950,1950,110000
832,544,288,552,1935,TA,8004,150,5,8,832,2009,2009,263435
575,350,0,576,1135,Gd,7200,0,9,7,560,1936,2007,155000
864,553,0,360,864,TA,8281,0,5,5,864,1965,1965,62383
849,326,389,240,1660,TA,11988,0,7,6,715,1934,1995,188700
1040,616,424,0,1040,TA,8430,0,5,5,1040,1978,1978,124000
1414,0,1375,398,1414,Gd,3072,20,5,7,1375,2004,2004,178740
1277,778,499,526,1277,TA,10628,0,5,7,1277,1970,1970,167000
888,386,342,312,1644,Gd,9480,0,7,5,728,1942,1995,146500
1634,0,1626,866,1634,Gd,11428,44,5,8,1626,2006,2006,250000
832,426,406,506,1710,Gd,9291,70,5,6,832,1993,1993,187000
1502,368,0,528,1502,Gd,6820,54,5,8,1488,1985,1985,212000
1161,0,808,534,1969,TA,11952,0,6,7,808,1977,1977,190000
1072,459,88,525,1072,TA,3675,28,5,6,547,2005,2005,148000
1976,1350,626,908,1976,Gd,14977,63,5,8,1976,2006,2007,440000
1652,1196,298,499,1652,Ex,5330,48,5,8,1494,2000,2000,251000
970,630,340,624,970,TA,8480,24,6,5,970,1963,1963,132500
1493,994,484,508,1493,Gd,13125,39,5,6,1478,1997,1998,208900
2069,0,2153,694,2643,Ex,13693,84,5,9,2153,2006,2006,380000
1718,1288,417,826,1718,Gd,10637,44,5,8,1705,2007,2008,297000
1131,168,739,672,1131,TA,5925,72,7,4,907,1937,2000,89471
1850,1261,572,772,1850,Gd,16033,112,5,9,1833,2004,2005,326000
1792,1567,225,874,1792,Ex,11846,49,5,9,1792,2003,2004,374000
916,299,611,164,1826,Ex,2500,0,8,7,910,1915,2005,155000
1216,897,319,402,1216,TA,4500,125,5,6,1216,1998,1998,164000
999,588,411,264,999,Gd,7758,132,7,5,999,1962,2001,132500
1113,607,506,264,1113,Gd,9600,80,7,5,1113,1950,2007,147000
1073,836,237,515,1073,TA,10289,0,7,5,1073,1965,1965,156000
1484,998,486,487,1484,TA,12243,0,6,5,1484,1971,1971,175000
1766,664,290,520,2414,TA,10800,0,4,5,954,1900,1970,160000
630,515,115,286,630,Gd,1526,0,8,4,630,1970,2002,86000
616,0,264,336,1304,TA,2665,24,6,5,264,1976,1976,115000
958,403,238,240,1578,Fa,9490,0,7,6,806,1941,1950,133000
728,0,728,429,1456,TA,15578,0,5,6,728,2006,2006,172785
1269,374,363,308,1269,TA,7931,0,6,5,1269,1960,1960,155000
886,0,190,273,886,TA,5784,20,8,5,190,1938,1996,91300
720,495,225,0,720,TA,7879,523,5,4,720,1920,1950,34900
3228,1231,1969,546,3228,Gd,12692,75,5,8,3200,1992,1993,430000
1133,329,697,240,1820,TA,9120,100,6,7,1026,1925,1950,184000
899,450,414,288,899,Gd,7800,0,7,5,864,1967,2004,130000
912,111,522,297,912,TA,7535,285,7,5,912,1958,1985,120000
672,356,316,264,1218,TA,1890,28,5,6,672,1973,1973,113000
866,400,466,603,1768,Gd,9803,108,5,7,866,2005,2005,226700
1214,698,420,461,1214,TA,9170,0,7,5,1214,1965,1965,140000
1801,1247,254,484,1801,TA,15602,54,8,7,1501,1959,1997,289000
855,257,103,440,1322,TA,2308,0,5,6,855,1974,1974,147000
960,0,960,400,1960,TA,7596,0,5,5,960,1952,1952,124500
1065,380,397,471,1911,Gd,9554,81,5,8,777,1993,1994,215000
1218,27,1191,676,1218,Gd,7862,102,5,6,1218,2009,2009,208300
689,141,548,360,1378,Gd,9600,0,9,7,689,1928,2005,161000
1041,991,50,270,1041,TA,9600,88,6,5,1041,1959,1959,124500
1363,650,178,288,1363,TA,14559,42,7,5,1008,1951,2000,164900
1368,0,1368,474,1368,Gd,6792,35,5,7,1368,2005,2006,202665
864,521,169,624,864,TA,9100,0,5,5,864,1958,1958,129900
1080,336,748,484,1080,TA,9187,0,5,6,1084,1983,1983,134000
789,0,768,200,789,TA,10594,0,5,5,768,1926,1950,96500
2020,1436,570,900,2020,Ex,12220,54,5,10,2006,2009,2009,402861
1378,0,689,583,2119,TA,10448,104,6,6,689,1972,1972,158000
1277,0,1264,889,2344,Gd,10208,0,5,7,1264,1996,1997,265000
882,706,88,546,1796,TA,9531,36,5,6,794,1998,1998,211000
1276,0,1276,282,2080,Gd,10918,0,9,7,1276,1926,2004,234000
694,0,0,0,1294,TA,10800,114,7,4,0,1900,2000,106250
1244,777,467,336,1244,TA,11988,40,6,6,1244,1957,1957,150000
1004,399,605,420,1664,TA,5000,24,7,6,1004,1947,1950,159000
3138,2260,878,884,4676,Ex,40094,406,5,10,3138,2007,2008,184750
1383,719,660,834,2398,Gd,11787,60,5,7,1379,1996,1997,315750
1266,0,1257,453,1266,Gd,7500,144,5,7,1257,2005,2005,176000
928,377,551,252,928,TA,13300,0,7,5,928,1956,2000,132000
1476,1330,122,858,2713,Ex,14948,66,5,9,1452,2008,2008,446261
605,348,180,0,605,TA,9098,0,7,4,528,1920,2002,86000
2515,1219,816,484,2515,TA,32668,0,3,6,2035,1957,1975,200624
1509,783,678,600,1509,Gd,10200,0,5,6,1461,1988,1989,175000
751,0,611,502,1362,TA,6155,0,8,6,611,1920,1999,128000
827,0,0,392,827,TA,7200,0,7,5,0,1955,2007,107500
334,0,0,0,334,Fa,5000,0,3,1,0,1946,1950,39300
707,0,707,403,1414,Gd,9056,35,5,8,707,2004,2004,178000
820,969,148,0,1347,TA,7000,0,7,5,1117,1910,1991,107500
880,0,880,527,1724,Gd,8924,155,5,7,880,1998,1999,188000
864,600,264,576,864,TA,12735,0,5,4,864,1972,1972,111250
1159,673,378,336,1159,TA,11553,0,5,5,1051,1968,1968,158000
1601,1358,223,670,1601,Gd,11423,0,5,8,1581,2001,2002,272000
1838,1260,578,765,1838,Ex,14601,68,5,9,1838,2006,2006,315000
997,0,969,648,2285,Gd,11000,56,5,8,969,2000,2000,248000
1680,144,379,583,1680,Gd,10140,73,5,7,1650,1998,1999,213250
767,584,0,367,767,TA,4058,40,5,7,723,1998,1998,133000
664,554,100,426,1496,Gd,17104,24,5,7,654,2006,2006,179665
1377,1002,0,786,2183,Gd,13837,0,5,7,1204,1988,1988,229000
915,300,765,440,1635,TA,8737,38,7,6,1065,1923,1950,210000
768,619,149,624,768,TA,7244,0,7,5,768,1970,1970,129500
825,180,0,720,825,TA,8235,50,7,5,825,1955,1995,125000
912,0,912,615,2094,Gd,9375,182,5,7,912,2003,2004,263000
1069,559,510,440,1069,TA,4043,55,6,6,1069,1977,1977,140000
928,308,620,288,928,TA,6000,0,6,5,928,1957,1957,112500
1717,0,1709,908,1717,Gd,11146,39,5,8,1709,2006,2006,255500
1126,0,0,520,1126,Gd,8777,96,5,4,0,1949,2003,108000
1006,866,132,871,2046,Gd,10625,62,5,7,998,2003,2004,284000
1048,0,993,280,1048,TA,6380,0,6,5,993,1922,1950,113000
1092,895,197,299,1092,TA,14850,0,5,5,1092,1957,1957,141000
897,637,0,570,1336,TA,11040,47,6,4,637,1920,1950,108000
729,604,125,406,1446,TA,21872,22,5,7,729,1996,1997,175000
1557,0,1374,420,1557,Gd,3196,20,5,7,1374,2003,2004,234000
1392,1302,90,528,1392,TA,11341,0,6,5,1392,1957,1996,121500
1389,1071,195,418,1389,TA,10010,38,5,5,1389,1974,1975,170000
996,290,706,0,996,TA,13907,0,6,5,996,1940,1969,108000
1163,0,1163,396,1674,TA,21780,36,7,6,1163,1918,1950,185000
1166,728,367,590,2295,Gd,13346,40,5,7,1095,1992,2000,268000
841,0,806,216,1647,Fa,6858,66,4,6,806,1915,1950,128000
1134,0,1122,656,2504,Ex,11198,39,5,9,1122,2005,2007,325000
1535,2,1515,532,1535,Gd,10171,0,5,7,1517,2004,2004,214000
1496,1441,55,612,2132,Gd,12327,40,8,8,1496,1983,2009,316600
943,943,0,600,943,TA,7032,0,5,5,943,1979,1979,135960
1728,231,1497,576,1728,TA,13101,0,5,5,1728,1965,1965,142600
864,414,450,288,864,Gd,7332,0,6,6,864,1959,1959,120000
846,0,846,650,1692,Gd,13159,114,5,7,846,2009,2009,224500
774,0,384,400,1430,TA,9967,0,5,7,384,2000,2000,170000
576,349,23,288,1109,TA,10500,0,7,5,372,1971,2005,139000
832,442,390,336,1216,TA,8480,0,5,5,832,1947,1950,118500
877,0,861,216,1477,TA,6292,50,7,7,861,1928,1950,145000
1320,328,285,564,1320,TA,11777,68,6,5,1164,1966,1966,164500
703,0,689,540,1392,Gd,3604,102,5,7,689,2007,2007,146000
1050,0,1050,352,1795,TA,12150,0,5,5,1050,1954,1954,131500
1429,594,331,572,1429,Gd,14585,110,6,6,1144,1960,1987,181900
2042,0,2042,1390,2042,Ex,12704,90,5,8,2042,2008,2009,253293
816,816,0,0,816,TA,11841,32,5,6,816,1990,1990,118500
1521,0,1237,880,2775,Gd,13500,502,9,10,1237,1893,2000,325000
989,0,884,240,1573,Gd,6120,0,7,4,884,1935,1995,133000
2028,1460,408,880,2028,Gd,11443,66,5,8,1868,2005,2006,369900
838,210,0,275,838,Fa,10267,0,7,6,816,1918,2000,130000
860,672,168,528,860,TA,8740,0,6,5,840,1982,1982,137000
1473,1324,113,452,1473,Ex,25095,48,8,5,1437,1968,2003,143000
779,0,742,308,935,TA,9100,0,6,5,742,1930,1960,79500
770,490,280,520,1582,Gd,8320,45,5,7,770,2004,2004,185900
1728,1338,384,842,2296,Ex,13478,274,5,10,1722,2008,2008,451950
816,816,0,816,816,TA,6600,0,8,5,816,1982,2003,138000
848,685,163,420,848,Gd,4435,0,5,6,848,2003,2003,140000
924,0,924,280,924,TA,7990,0,6,5,924,1975,1975,110000
1826,1422,392,758,1826,Gd,11302,75,5,8,1814,2005,2006,319000
684,0,684,216,1368,TA,3600,158,7,6,684,1910,1993,114504
1402,0,1258,648,1402,Gd,3922,16,5,7,1258,2006,2007,194201
1647,1283,0,621,1647,Gd,12984,0,6,5,1430,1977,1977,217500
716,81,23,452,1556,TA,1950,0,6,6,716,1980,1980,151000
1058,546,512,736,1904,Ex,10927,60,5,8,1058,2005,2005,275000
780,0,780,544,1375,Gd,9000,162,6,6,780,1937,1950,141000
927,789,119,506,1915,Gd,10041,150,5,8,908,1992,1992,220000
600,0,600,480,1200,Gd,3182,172,5,7,600,2004,2005,151000
1494,922,572,530,1494,Gd,12803,36,5,7,1494,2002,2002,221000
1186,454,314,486,1986,TA,13600,42,6,7,768,1965,1990,205000
1040,732,308,576,1040,Gd,12464,0,5,5,1040,1996,1996,152000
1112,603,293,230,2008,Ex,7800,0,8,5,896,1948,2002,225000
1940,428,537,380,3194,TA,12168,0,6,8,965,1934,1998,359100
1029,903,126,261,1029,TA,7943,0,5,4,1029,1961,1961,118500
1476,904,536,736,2153,Ex,11050,142,5,9,1440,2000,2000,313000
1032,605,427,564,1032,TA,10395,0,6,6,1032,1978,1978,148000
1299,990,309,531,1872,Ex,11885,122,5,8,1299,2001,2001,261500
1120,206,914,0,1120,TA,8402,30,5,5,1120,2007,2007,147000
630,150,0,0,630,TA,1491,24,6,4,630,1972,1972,75500
1054,763,173,480,1054,Gd,8800,0,7,6,936,1963,1963,137500
807,457,326,393,1509,Gd,7861,75,5,6,783,2002,2003,183200
832,0,832,528,832,Gd,7227,0,6,6,832,1954,1954,105500
1828,48,1774,774,1828,Gd,11694,108,5,9,1822,2007,2007,314813
1482,871,611,749,2262,Gd,12244,0,5,8,1482,2003,2003,305000
864,41,823,0,864,TA,8248,0,3,3,864,1914,1950,67000
1548,956,384,624,2614,TA,10800,243,7,6,1522,1974,1997,240000
980,560,420,484,980,TA,7064,0,6,5,980,1977,1977,135000
756,420,336,440,1512,Gd,2117,32,5,6,756,2000,2000,168500
1012,247,485,484,1790,TA,10400,0,5,6,732,1972,1972,165150
1116,0,1116,440,1116,TA,10000,0,6,6,1116,1962,1962,160000
1422,0,978,286,1422,TA,12342,0,5,5,978,1960,1978,139900
1520,674,350,364,1520,TA,9600,0,6,6,1156,1955,1972,153000
1040,650,390,504,2080,Fa,11606,0,5,5,1040,1969,1969,135000
1350,624,288,520,1350,TA,9020,0,5,6,1248,1964,1964,168500
1089,0,636,240,1750,Ex,9000,0,6,5,636,1880,1991,124000
1554,24,1530,627,1554,Gd,4590,73,5,8,1554,2006,2006,209500
1411,822,564,544,1411,TA,11900,0,5,7,1386,1977,1977,82500
1056,480,108,260,1056,TA,9250,0,7,5,1056,1954,2005,139400
1056,1056,0,576,1056,TA,6979,56,5,6,1056,1980,1980,144000
1440,256,1184,0,3395,Fa,10896,110,7,6,1440,1914,1995,200000
800,0,264,0,800,Fa,6120,0,3,2,264,1936,1950,60000
811,0,811,256,1387,Gd,6000,0,4,5,811,1954,1954,93000
796,0,796,0,796,TA,8777,0,7,5,796,1910,1950,85000
1567,1154,366,648,1567,Ex,3982,0,5,8,1520,2006,2006,264561
1518,1218,300,588,1518,Ex,12677,140,5,8,1518,2003,2004,274000
1057,738,319,650,1929,Gd,7050,235,5,7,1057,2001,2001,226000
2000,1410,542,538,2704,Ex,13860,111,7,8,1952,1972,1995,345000
780,493,0,462,1620,TA,10793,0,5,5,780,1969,1969,152000
1766,1121,645,478,1766,Ex,9187,130,5,9,1766,2009,2009,370878
981,282,664,576,981,TA,10530,312,5,6,981,1971,1971,143250
1048,0,0,420,1048,TA,7200,27,5,5,0,1950,1950,98300
1094,500,594,495,1094,TA,10452,0,5,6,1094,1953,1953,155000
1051,0,756,442,1839,TA,7700,124,5,6,756,1966,1966,155000
630,131,0,0,630,TA,1936,0,6,4,630,1970,1970,84500
822,0,813,562,1665,Gd,8125,0,6,7,813,2007,2007,205950
755,0,755,296,1510,TA,9084,0,5,4,755,1940,1950,108000
909,0,880,512,1716,Gd,8750,120,5,7,880,1996,1996,191000
756,0,756,216,1469,TA,10320,0,7,6,756,1906,1995,135000
2113,1696,413,839,2113,Gd,10437,46,6,8,2109,1995,1995,350000
525,0,525,264,1092,TA,1680,0,5,6,525,1971,1971,88000
1053,806,247,312,1053,Gd,10007,0,7,5,1053,1959,2006,145500
851,0,776,270,1502,TA,7200,0,6,7,776,1931,2000,149000
912,0,912,330,1458,TA,17503,0,5,6,912,1948,1950,97500
1486,637,849,480,1486,TA,9937,0,7,5,1486,1964,1999,167000
1142,0,793,550,1935,TA,12384,113,7,7,793,1976,1976,197900
1686,1361,88,711,2448,Gd,46589,76,7,8,1629,1994,2005,402000
1392,0,1392,576,1392,TA,13560,0,3,6,1392,1968,1968,110000
1181,920,38,588,1181,TA,10012,0,5,4,1138,1972,1972,137500
2097,1721,356,1134,2097,Ex,20896,267,5,8,2077,2005,2006,423000
1454,0,1406,504,1936,Gd,11194,124,5,8,1406,2000,2000,230500
1465,187,111,596,2380,TA,18450,265,5,6,1021,1965,1979,129000
1679,1138,270,575,1679,Gd,8125,42,5,6,1408,1994,1998,193500
1437,988,200,576,1437,TA,14175,0,6,5,1188,1956,1987,168000
1180,0,700,252,1180,Fa,11600,0,5,4,700,1922,1950,137500
738,193,545,540,1476,Gd,8633,35,5,6,738,2005,2005,173500
697,551,121,300,1369,TA,6629,0,6,6,672,1925,1950,103600
1208,767,441,546,1208,TA,11250,42,6,6,1208,1977,1977,165000
1839,1186,291,416,1839,Gd,14442,87,7,6,1477,1957,2004,257500
1136,892,244,384,1136,TA,9200,0,6,6,1136,1965,1965,140000
855,311,544,440,1441,TA,2289,0,6,6,855,1978,1978,148500
1095,0,1095,779,1774,TA,9600,0,2,4,1095,1900,1950,87000
792,0,768,240,792,Gd,9022,0,8,5,768,1924,2006,109500
2046,0,2046,834,2046,Gd,11844,82,5,8,2046,2008,2008,372500
988,827,161,572,988,TA,9945,0,5,5,988,1961,1961,128500
923,543,261,264,923,TA,8012,0,5,6,923,1980,1980,143000
848,182,611,281,1520,TA,4500,0,5,5,793,1932,2000,159434
1291,1003,288,431,1291,Gd,2887,0,5,6,1291,1996,1997,173000
1668,1059,567,702,1668,Gd,11248,45,5,9,1626,2002,2002,285000
1195,0,1195,486,1839,TA,16770,81,5,7,1195,1998,1998,221000
1190,828,180,577,2090,Gd,5062,0,5,7,1190,1984,1984,207500
874,0,874,578,1761,Gd,10207,105,6,7,874,2007,2007,227875
551,239,312,480,1102,Gd,5105,60,5,7,551,2004,2004,148800
1419,945,474,567,1419,Gd,8089,0,6,8,1419,2007,2007,392000
1362,20,1342,460,1362,Gd,7577,28,5,6,1362,2005,2006,194700
848,697,151,420,848,Gd,4426,0,5,6,848,2004,2004,141000
2444,1455,989,832,4316,Ex,21535,50,6,10,2444,1994,1995,755000
1238,965,245,628,2519,Gd,26178,27,5,7,1210,1989,1990,335000
1073,0,1073,326,1073,TA,5400,0,6,5,1073,1921,1968,108480
1067,0,927,576,1539,TA,6120,0,6,5,927,1936,1950,141500
1137,980,92,551,1137,Gd,13811,0,6,6,1112,1987,1987,176000
616,616,0,205,616,TA,6000,0,7,5,616,1921,1950,89000
1148,210,219,308,1148,TA,6420,0,7,5,980,1952,1952,123500
894,553,224,336,894,TA,8450,144,8,5,894,1965,2009,138500
1391,16,1375,530,1391,Gd,4282,158,5,7,1391,2004,2004,196000
1800,1274,526,765,1800,Gd,14331,78,5,8,1800,2002,2002,312500
1164,0,1164,528,1164,TA,9600,0,5,7,1164,1969,1969,140000
1264,0,1234,666,2576,Ex,12438,100,5,8,1234,2006,2006,361919
1032,0,360,672,1812,Gd,7630,0,9,5,360,1900,1996,140000
1484,712,761,606,1484,Gd,8400,35,5,7,1473,2004,2005,213000
372,0,0,0,1092,Fa,5600,0,5,4,0,1930,1950,55000
1824,1219,424,739,1824,Gd,115149,48,5,7,1643,1971,2002,302000
1324,863,461,550,1324,Gd,6240,38,5,8,1324,2006,2006,254000
728,0,728,400,1456,Gd,9018,24,5,7,728,2007,2007,179540
904,0,876,408,904,TA,7162,0,7,5,876,1966,1966,109900
729,0,270,0,729,TA,4130,0,6,3,270,1935,2003,52000
859,0,859,384,1178,TA,8712,0,7,4,859,1900,1950,102776
1228,767,461,472,1228,Gd,4671,120,5,8,1228,1988,1989,189000
960,789,171,576,960,TA,9873,288,5,4,960,1970,1970,129000
725,533,192,475,1479,Gd,13517,44,8,6,725,1976,2005,130500
1350,0,1064,478,1350,TA,10140,0,5,6,1064,1974,1974,165000
1576,0,718,704,2554,TA,10800,48,8,7,718,1890,1998,159500
1178,1084,92,439,1178,Gd,10000,0,6,5,1176,1973,2000,157000
1325,1173,138,983,2418,Gd,10542,154,5,7,1311,1993,1994,341000
971,523,448,300,971,TA,9920,0,6,5,971,1969,1969,128500
1742,1148,594,564,1742,Gd,6563,28,5,8,1742,1985,1985,275000
848,662,186,420,848,Gd,4426,0,5,6,848,2004,2004,143000
864,191,673,463,864,TA,8120,0,7,4,864,1970,1970,124500
997,0,941,548,1470,TA,8172,0,6,4,941,1954,1972,135000
1698,1234,464,768,1698,Ex,13286,64,5,9,1698,2007,2008,320000
864,375,250,660,864,Gd,6960,0,6,4,864,1970,1970,120500
1680,808,72,540,1680,Gd,21695,44,9,6,880,1988,2007,222000
1232,724,508,632,1232,Gd,7314,0,5,7,1232,2007,2007,194500
1776,0,1584,888,1776,TA,11475,25,5,5,1584,1958,1958,110000
848,152,628,539,1208,TA,6240,23,5,4,780,1925,1950,103000
1616,1180,415,608,1616,Gd,5389,152,5,8,1595,1995,1996,236500
1146,786,82,438,1146,Gd,9590,22,5,7,868,2003,2003,187500
1153,252,901,541,2031,Gd,11404,84,5,7,1153,1998,1999,222500
1144,594,270,264,1144,TA,10000,0,6,5,864,1961,1983,131400
948,0,948,300,948,TA,8978,0,5,5,948,1968,1968,108000
880,390,490,320,1768,TA,10800,341,7,7,880,1914,1970,163000
1040,0,0,400,1040,TA,8544,0,4,3,0,1950,1950,93500
901,0,893,800,1801,Gd,10463,116,5,8,893,2005,2005,239900
1200,1200,0,0,1200,TA,10800,0,5,5,1200,1987,1988,179000
864,0,864,572,1728,Gd,9313,56,5,7,864,2004,2004,190000
768,0,264,360,1432,TA,9600,0,7,5,264,1910,2002,132000
912,832,80,288,912,Gd,6768,0,8,6,912,1961,1996,142000
1349,0,1349,539,1349,TA,8450,55,5,7,1349,2000,2001,179000
1464,444,76,480,1464,TA,12886,0,6,5,520,1963,1999,175000
1337,733,604,462,1337,Gd,5395,0,5,8,1337,1993,1993,180000
1175,575,487,831,2715,Gd,8963,204,9,8,1142,1976,1996,299800
980,300,652,554,2256,Gd,8795,54,5,7,952,2000,2000,236000
1320,0,1240,864,2640,Gd,11700,0,7,7,1240,1880,2003,265979
1720,919,801,527,1720,Gd,10593,56,5,7,1720,1996,1996,260400
1088,0,0,240,1529,TA,8405,0,3,4,0,1945,1950,98000
792,0,576,0,1140,TA,8800,160,7,4,576,1910,2004,96500
660,0,660,400,1320,Gd,7750,48,5,7,660,2003,2003,162000
1494,1200,279,576,1494,Gd,9236,27,5,6,1479,1997,1997,217000
1038,0,1030,878,2098,Ex,10240,52,5,8,1030,2005,2005,275500
1026,439,115,440,1026,Gd,7930,48,8,6,1026,1969,2005,156000
742,381,348,440,1471,TA,3230,24,5,6,729,1999,1999,172500
866,20,846,578,1768,Gd,10769,105,5,8,866,2007,2007,212000
672,438,234,440,1386,TA,11616,0,5,6,672,1978,1978,158900
757,549,195,440,1501,TA,2280,0,5,7,744,1999,1999,179400
1328,56,1198,752,2531,Gd,12257,98,5,8,1318,1995,1995,290000
864,612,252,300,864,TA,9100,0,6,6,864,1959,1959,127500
1301,405,740,440,1301,Fa,6911,0,5,5,1145,1924,1950,100000
764,24,732,614,1547,Gd,8640,45,5,7,756,2009,2009,215200
1268,1163,89,856,2365,Gd,9430,128,5,8,1252,1999,1999,337000
1494,437,0,481,1494,Ex,9549,30,5,8,1494,1995,1996,270000
1506,0,1498,592,1506,Ex,14587,174,5,9,1498,2008,2008,264132
980,394,586,496,1714,TA,10421,66,5,7,980,1988,1988,196500
983,660,323,423,1750,TA,12508,0,7,6,983,1940,1985,160000
1836,24,1836,484,1836,Gd,9100,33,5,7,1860,2004,2005,216837
1690,1416,234,841,3279,Ex,53504,36,5,8,1650,2003,2003,538000
858,685,173,576,858,TA,7252,0,5,5,858,1982,1982,134900
1220,836,0,396,1220,TA,8877,0,5,4,836,1951,1951,102000
1117,422,480,672,1117,TA,7819,0,5,6,1029,1976,1976,107000
912,456,456,275,912,TA,10150,0,5,5,912,1958,1958,114500
